amp_window,score_window,diff_order,smooth,preproc,quantile,threshold,precision,recall,f1,TP,FP,FN,pred_count
11,31,0,0,zscore,0.96,0.4465600463990834,0.45,0.8181818181818182,0.5806451612903226,9,11,2,20
11,41,0,0,zscore,0.96,0.49249002931389824,0.45,0.8181818181818182,0.5806451612903226,9,11,2,20
13,31,0,0,zscore,0.96,0.4399669085297714,0.45,0.8181818181818182,0.5806451612903226,9,11,2,20
13,51,0,0,zscore,0.96,0.6066915041964531,0.45,0.8181818181818182,0.5806451612903226,9,11,2,20
7,41,0,0,zscore,0.96,0.35800552991461776,0.45,0.8181818181818182,0.5806451612903226,9,11,2,20
9,21,0,0,zscore,0.98,0.5523445353709223,0.6,0.5454545454545454,0.5714285714285713,6,4,5,10
9,41,0,0,zscore,0.98,0.6689317419332794,0.6,0.5454545454545454,0.5714285714285713,6,4,5,10
9,31,0,0,zscore,0.98,0.6190285439170339,0.6,0.5454545454545454,0.5714285714285713,6,4,5,10
11,31,0,0,zscore,0.98,0.6965079919693278,0.6,0.5454545454545454,0.5714285714285713,6,4,5,10
11,41,0,0,zscore,0.98,0.7720137124880502,0.6,0.5454545454545454,0.5714285714285713,6,4,5,10
13,27,0,0,zscore,0.98,0.6923869650686416,0.6,0.5454545454545454,0.5714285714285713,6,4,5,10
13,41,0,0,zscore,0.98,0.8080298878907588,0.6,0.5454545454545454,0.5714285714285713,6,4,5,10
9,27,0,0,zscore,0.98,0.5977580187656565,0.6,0.5454545454545454,0.5714285714285713,6,4,5,10
11,27,0,0,zscore,0.98,0.6663090627180766,0.6,0.5454545454545454,0.5714285714285713,6,4,5,10
7,21,0,0,zscore,0.98,0.4146374465776039,0.6,0.5454545454545454,0.5714285714285713,6,4,5,10
13,31,0,0,zscore,0.98,0.719734817207371,0.6,0.5454545454545454,0.5714285714285713,6,4,5,10
7,27,0,0,zscore,0.98,0.44010014233539746,0.6,0.5454545454545454,0.5714285714285713,6,4,5,10
7,41,0,0,zscore,0.95,0.3044488063185653,0.4,0.9090909090909091,0.5555555555555556,10,15,1,25
9,51,0,0,zscore,0.95,0.383758313111773,0.4,0.9090909090909091,0.5555555555555556,10,15,1,25
11,31,0,0,zscore,0.95,0.23982829928434693,0.4,0.9090909090909091,0.5555555555555556,10,15,1,25
13,27,0,0,zscore,0.95,0.21493247536356938,0.4,0.9090909090909091,0.5555555555555556,10,15,1,25
11,41,0,0,zscore,0.95,0.42767527224591706,0.4,0.9090909090909091,0.5555555555555556,10,15,1,25
7,31,0,0,zscore,0.95,0.1994167871386474,0.4,0.9090909090909091,0.5555555555555556,10,15,1,25
13,41,0,0,zscore,0.95,0.374163680185442,0.4,0.9090909090909091,0.5555555555555556,10,15,1,25
11,21,0,0,zscore,0.95,0.14649795565188733,0.4,0.9090909090909091,0.5555555555555556,10,15,1,25
7,27,0,0,zscore,0.95,0.1595534374051398,0.4,0.9090909090909091,0.5555555555555556,10,15,1,25
13,21,0,0,zscore,0.95,0.17899861824025534,0.4,0.9090909090909091,0.5555555555555556,10,15,1,25
13,31,0,0,zscore,0.95,0.250843830719531,0.4,0.9090909090909091,0.5555555555555556,10,15,1,25
9,41,0,0,zscore,0.95,0.3286481327109456,0.4,0.9090909090909091,0.5555555555555556,10,15,1,25
9,31,0,0,zscore,0.95,0.23005431280199645,0.4,0.9090909090909091,0.5555555555555556,10,15,1,25
9,21,0,0,zscore,0.94,0.09926459745475943,0.3793103448275862,1.0,0.5499999999999999,11,18,0,29
7,27,0,0,zscore,0.94,0.1252979993036295,0.3793103448275862,1.0,0.5499999999999999,11,18,0,29
9,27,0,0,zscore,0.94,0.13593884125803593,0.3793103448275862,1.0,0.5499999999999999,11,18,0,29
11,27,0,0,zscore,0.94,0.14650610786757604,0.3793103448275862,1.0,0.5499999999999999,11,18,0,29
11,21,0,0,zscore,0.94,0.1249158914258555,0.3793103448275862,1.0,0.5499999999999999,11,18,0,29
11,31,0,0,zscore,0.94,0.17470806508063047,0.3793103448275862,1.0,0.5499999999999999,11,18,0,29
13,27,0,0,zscore,0.94,0.15946143320060838,0.3793103448275862,1.0,0.5499999999999999,11,18,0,29
9,31,0,0,zscore,0.94,0.16770848905849833,0.3793103448275862,1.0,0.5499999999999999,11,18,0,29
7,31,0,0,zscore,0.94,0.15338772259937053,0.3793103448275862,1.0,0.5499999999999999,11,18,0,29
7,21,0,0,zscore,0.94,0.07881254622689436,0.3793103448275862,1.0,0.5499999999999999,11,18,0,29
13,31,0,0,zscore,0.94,0.20064244114179622,0.3793103448275862,1.0,0.5499999999999999,11,18,0,29
13,41,0,3,zscore,0.97,0.9786194837784851,0.4666666666666667,0.6363636363636364,0.5384615384615385,7,8,4,15
13,51,0,3,zscore,0.97,1.1710654221056298,0.4666666666666667,0.6363636363636364,0.5384615384615385,7,8,4,15
11,41,0,0,zscore,0.97,0.6188403339400848,0.4666666666666667,0.6363636363636364,0.5384615384615385,7,8,4,15
9,51,0,0,zscore,0.97,0.5857028070272007,0.4666666666666667,0.6363636363636364,0.5384615384615385,7,8,4,15
13,41,0,5,zscore,0.97,0.9415912908938906,0.4666666666666667,0.6363636363636364,0.5384615384615385,7,8,4,15
7,41,0,0,zscore,0.97,0.42355826553842313,0.4666666666666667,0.6363636363636364,0.5384615384615385,7,8,4,15
11,41,0,3,zscore,0.97,1.0516389615704325,0.4666666666666667,0.6363636363636364,0.5384615384615385,7,8,4,15
11,51,0,3,zscore,0.97,1.196857562593851,0.4666666666666667,0.6363636363636364,0.5384615384615385,7,8,4,15
11,41,0,5,zscore,0.97,0.9288130565737704,0.4666666666666667,0.6363636363636364,0.5384615384615385,7,8,4,15
13,51,0,0,zscore,0.97,0.8028509265700763,0.4666666666666667,0.6363636363636364,0.5384615384615385,7,8,4,15
13,51,0,3,zscore,0.96,0.825483085366121,0.4,0.7272727272727273,0.5161290322580645,8,12,3,20
13,41,0,3,zscore,0.96,0.7985170072354238,0.4,0.7272727272727273,0.5161290322580645,8,12,3,20
13,31,0,3,zscore,0.96,0.7605701345468447,0.4,0.7272727272727273,0.5161290322580645,8,12,3,20
