amp_window,score_window,diff_order,smooth,quantile,threshold,precision,recall,f1,TP,FP,FN,pred_count
11,51,2,0,0.95,2.2704820136975545,0.2916666666666667,0.6363636363636364,0.4,7,17,4,24
13,27,2,0,0.95,2.054789331853229,0.2916666666666667,0.6363636363636364,0.4,7,17,4,24
13,31,2,0,0.95,2.0317200185562188,0.2916666666666667,0.6363636363636364,0.4,7,17,4,24
13,41,2,0,0.95,2.3387939916371296,0.2916666666666667,0.6363636363636364,0.4,7,17,4,24
13,51,2,0,0.95,2.312737208838546,0.2916666666666667,0.6363636363636364,0.4,7,17,4,24
13,51,0,0,0.94,1.8028509614072048,0.27586206896551724,0.7272727272727273,0.4,8,21,3,29
5,71,2,0,0.95,2.199637951205543,0.2916666666666667,0.6363636363636364,0.4,7,17,4,24
17,31,2,0,0.95,1.8866023458049799,0.2916666666666667,0.6363636363636364,0.4,7,17,4,24
7,27,2,0,0.95,1.7959352926128749,0.2916666666666667,0.6363636363636364,0.4,7,17,4,24
17,27,2,0,0.95,1.7033462705402518,0.2916666666666667,0.6363636363636364,0.4,7,17,4,24
11,41,0,0,0.95,2.1444459620338243,0.28,0.6363636363636364,0.3888888888888889,7,18,4,25
13,41,0,0,0.95,2.137265643100563,0.28,0.6363636363636364,0.3888888888888889,7,18,4,25
7,51,0,0,0.95,1.9754445135832106,0.28,0.6363636363636364,0.3888888888888889,7,18,4,25
21,41,0,0,0.95,1.968589616294572,0.28,0.6363636363636364,0.3888888888888889,7,18,4,25
5,51,0,0,0.95,1.9251453875424716,0.28,0.6363636363636364,0.3888888888888889,7,18,4,25
17,51,0,0,0.95,2.2129624074895298,0.28,0.6363636363636364,0.3888888888888889,7,18,4,25
17,41,0,0,0.95,2.112608952406707,0.28,0.6363636363636364,0.3888888888888889,7,18,4,25
9,41,0,0,0.96,2.245272337400955,0.3,0.5454545454545454,0.3870967741935483,6,14,5,20
11,27,2,0,0.96,2.038657429577114,0.3,0.5454545454545454,0.3870967741935483,6,14,5,20
11,41,0,0,0.96,2.306553597377372,0.3,0.5454545454545454,0.3870967741935483,6,14,5,20
9,71,0,0,0.96,2.2698348973295297,0.3,0.5454545454545454,0.3870967741935483,6,14,5,20
11,51,2,0,0.96,2.395396428705253,0.3,0.5454545454545454,0.3870967741935483,6,14,5,20
7,71,2,0,0.96,2.5160483801789413,0.3,0.5454545454545454,0.3870967741935483,6,14,5,20
7,41,1,0,0.96,1.8879639217924384,0.3,0.5454545454545454,0.3870967741935483,6,14,5,20
7,51,0,0,0.96,2.205281777077534,0.3,0.5454545454545454,0.3870967741935483,6,14,5,20
21,51,2,0,0.96,2.7246898802876967,0.3,0.5454545454545454,0.3870967741935483,6,14,5,20
13,41,0,0,0.96,2.3542897641354843,0.3,0.5454545454545454,0.3870967741935483,6,14,5,20
13,51,2,0,0.96,2.7326899311232724,0.3,0.5454545454545454,0.3870967741935483,6,14,5,20
7,27,2,0,0.96,1.8880464858012591,0.3,0.5454545454545454,0.3870967741935483,6,14,5,20
7,41,0,0,0.96,2.2162475808431967,0.3,0.5454545454545454,0.3870967741935483,6,14,5,20
