amp_window,score_window,diff_order,quantile,threshold,precision,recall,f1,TP,FP,FN,pred_count
11,31,0,0.94,1.7790971891293539,0.20689655172413793,0.5454545454545454,0.3,6,23,5,29
9,31,0,0.94,1.7779905689577482,0.20689655172413793,0.5454545454545454,0.3,6,23,5,29
3,31,0,0.94,1.6120041422262519,0.20689655172413793,0.5454545454545454,0.3,6,23,5,29
3,31,0,0.92,1.4615284116528366,0.1794871794871795,0.6363636363636364,0.28,7,32,4,39
9,31,0,0.92,1.518397711687915,0.1794871794871795,0.6363636363636364,0.28,7,32,4,39
7,31,0,0.95,1.82046579311093,0.2,0.45454545454545453,0.2777777777777778,5,20,6,25
11,27,1,0.95,1.6852544388626625,0.2,0.45454545454545453,0.2777777777777778,5,20,6,25
7,31,1,0.95,1.8737478571476964,0.2,0.45454545454545453,0.2777777777777778,5,20,6,25
5,31,1,0.95,1.7298583613384642,0.2,0.45454545454545453,0.2777777777777778,5,20,6,25
9,31,0,0.95,1.8447378401867514,0.2,0.45454545454545453,0.2777777777777778,5,20,6,25
9,27,0,0.95,1.6657261612496919,0.2,0.45454545454545453,0.2777777777777778,5,20,6,25
5,31,0,0.95,1.789697597623175,0.2,0.45454545454545453,0.2777777777777778,5,20,6,25
3,31,1,0.95,1.6923569833227052,0.2,0.45454545454545453,0.2777777777777778,5,20,6,25
9,31,1,0.95,1.8448907136022734,0.2,0.45454545454545453,0.2777777777777778,5,20,6,25
11,31,0,0.95,1.914572377436543,0.2,0.45454545454545453,0.2777777777777778,5,20,6,25
7,27,0,0.95,1.6427434941771957,0.2,0.45454545454545453,0.2777777777777778,5,20,6,25
11,31,1,0.95,1.7452186623465868,0.2,0.45454545454545453,0.2777777777777778,5,20,6,25
9,31,0,0.9,1.3645325826382697,0.16326530612244897,0.7272727272727273,0.26666666666666666,8,41,3,49
7,31,0,0.9,1.378499792741731,0.16326530612244897,0.7272727272727273,0.26666666666666666,8,41,3,49
7,27,0,0.96,1.8088303834378971,0.2,0.36363636363636365,0.25806451612903225,4,16,7,20
7,21,1,0.96,1.9515602863233281,0.2,0.36363636363636365,0.25806451612903225,4,16,7,20
5,27,1,0.96,1.9708360773646882,0.2,0.36363636363636365,0.25806451612903225,4,16,7,20
9,27,1,0.96,2.04882335913343,0.2,0.36363636363636365,0.25806451612903225,4,16,7,20
7,27,1,0.96,1.986018776609099,0.2,0.36363636363636365,0.25806451612903225,4,16,7,20
11,27,1,0.96,2.2871221419155385,0.2,0.36363636363636365,0.25806451612903225,4,16,7,20
3,31,0,0.96,1.9190088217388275,0.2,0.36363636363636365,0.25806451612903225,4,16,7,20
7,31,1,0.96,2.004370110433518,0.2,0.36363636363636365,0.25806451612903225,4,16,7,20
3,27,0,0.96,1.8564736261761086,0.2,0.36363636363636365,0.25806451612903225,4,16,7,20
3,21,1,0.96,1.5815959433823,0.2,0.36363636363636365,0.25806451612903225,4,16,7,20
5,31,1,0.96,1.9790659542695646,0.2,0.36363636363636365,0.25806451612903225,4,16,7,20
5,31,0,0.96,1.91788270922755,0.2,0.36363636363636365,0.25806451612903225,4,16,7,20
9,21,1,0.96,1.9949358987157215,0.2,0.36363636363636365,0.25806451612903225,4,16,7,20
5,21,1,0.96,1.9100098049650536,0.2,0.36363636363636365,0.25806451612903225,4,16,7,20
9,31,1,0.96,2.042711950421255,0.2,0.36363636363636365,0.25806451612903225,4,16,7,20
