amp_window,score_window,quantile,threshold,precision,recall,f1,TP,FP,FN,pred_count
9,31,0.97,2.145388462164945,0.3333333333333333,0.14705882352941177,0.20408163265306123,5,10,29,15
5,31,0.97,2.0961612446271465,0.3333333333333333,0.14705882352941177,0.20408163265306123,5,10,29,15
7,31,0.97,2.18081658508432,0.3333333333333333,0.14705882352941177,0.20408163265306123,5,10,29,15
9,31,0.95,1.8447378401867514,0.24,0.17647058823529413,0.20338983050847456,6,19,28,25
9,27,0.95,1.6657261612496919,0.24,0.17647058823529413,0.20338983050847456,6,19,28,25
7,31,0.95,1.82046579311093,0.24,0.17647058823529413,0.20338983050847456,6,19,28,25
7,27,0.95,1.6427434941771957,0.24,0.17647058823529413,0.20338983050847456,6,19,28,25
11,31,0.95,1.914572377436543,0.24,0.17647058823529413,0.20338983050847456,6,19,28,25
5,31,0.95,1.789697597623175,0.24,0.17647058823529413,0.20338983050847456,6,19,28,25
9,31,0.8,0.6844292333901368,0.13402061855670103,0.38235294117647056,0.1984732824427481,13,84,21,97
11,31,0.8,0.6518360379943632,0.13402061855670103,0.38235294117647056,0.1984732824427481,13,84,21,97
5,31,0.8,0.7222415816715858,0.13402061855670103,0.38235294117647056,0.1984732824427481,13,84,21,97
3,31,0.8,0.7099411950857941,0.13402061855670103,0.38235294117647056,0.1984732824427481,13,84,21,97
7,31,0.8,0.7593048538435643,0.13402061855670103,0.38235294117647056,0.1984732824427481,13,84,21,97
3,27,0.88,1.128363272327834,0.15517241379310345,0.2647058823529412,0.1956521739130435,9,49,25,58
9,27,0.88,1.113265462382236,0.15517241379310345,0.2647058823529412,0.1956521739130435,9,49,25,58
3,31,0.88,1.156919124749279,0.15517241379310345,0.2647058823529412,0.1956521739130435,9,49,25,58
5,27,0.88,1.15641310563915,0.15517241379310345,0.2647058823529412,0.1956521739130435,9,49,25,58
3,31,0.9,1.3130158205877596,0.16326530612244897,0.23529411764705882,0.19277108433734938,8,41,26,49
3,27,0.9,1.1690258590516842,0.16326530612244897,0.23529411764705882,0.19277108433734938,8,41,26,49
7,27,0.9,1.2671252335474525,0.16326530612244897,0.23529411764705882,0.19277108433734938,8,41,26,49
7,27,0.92,1.353280175745367,0.1794871794871795,0.20588235294117646,0.19178082191780824,7,32,27,39
7,31,0.92,1.508448389250581,0.1794871794871795,0.20588235294117646,0.19178082191780824,7,32,27,39
11,31,0.92,1.6500491108552997,0.1794871794871795,0.20588235294117646,0.19178082191780824,7,32,27,39
9,27,0.92,1.4005091183316616,0.1794871794871795,0.20588235294117646,0.19178082191780824,7,32,27,39
5,31,0.92,1.4738434481961717,0.1794871794871795,0.20588235294117646,0.19178082191780824,7,32,27,39
11,27,0.92,1.4935006884098583,0.1794871794871795,0.20588235294117646,0.19178082191780824,7,32,27,39
5,27,0.92,1.371521536084263,0.1794871794871795,0.20588235294117646,0.19178082191780824,7,32,27,39
3,27,0.92,1.3279892484309577,0.1794871794871795,0.20588235294117646,0.19178082191780824,7,32,27,39
5,27,0.94,1.5536727366039862,0.20689655172413793,0.17647058823529413,0.19047619047619047,6,23,28,29
7,27,0.94,1.4761583372410392,0.20689655172413793,0.17647058823529413,0.19047619047619047,6,23,28,29
5,31,0.94,1.69876424114029,0.20689655172413793,0.17647058823529413,0.19047619047619047,6,23,28,29
11,27,0.94,1.644642365214587,0.20689655172413793,0.17647058823529413,0.19047619047619047,6,23,28,29
9,27,0.94,1.5502788176749345,0.20689655172413793,0.17647058823529413,0.19047619047619047,6,23,28,29
3,27,0.85,0.9304941441750502,0.136986301369863,0.29411764705882354,0.18691588785046728,10,63,24,73
7,27,0.85,1.0176855664505429,0.136986301369863,0.29411764705882354,0.18691588785046728,10,63,24,73
5,27,0.85,0.9756220244974337,0.136986301369863,0.29411764705882354,0.18691588785046728,10,63,24,73
3,27,0.96,1.8564736261761086,0.25,0.14705882352941177,0.18518518518518517,5,15,29,20
5,31,0.96,1.91788270922755,0.25,0.14705882352941177,0.18518518518518517,5,15,29,20
7,27,0.96,1.8088303834378971,0.25,0.14705882352941177,0.18518518518518517,5,15,29,20
3,31,0.96,1.9190088217388275,0.25,0.14705882352941177,0.18518518518518517,5,15,29,20
5,27,0.96,1.7518648827268033,0.25,0.14705882352941177,0.18518518518518517,5,15,29,20
3,27,0.8,0.7010853482924265,0.12371134020618557,0.35294117647058826,0.183206106870229,12,85,22,97
11,27,0.8,0.6645373119325378,0.12371134020618557,0.35294117647058826,0.183206106870229,12,85,22,97
9,27,0.8,0.6684253912381904,0.12371134020618557,0.35294117647058826,0.183206106870229,12,85,22,97
5,27,0.8,0.6861968072402915,0.12371134020618557,0.35294117647058826,0.183206106870229,12,85,22,97
7,27,0.8,0.7150697670762677,0.12371134020618557,0.35294117647058826,0.183206106870229,12,85,22,97
11,21,0.88,0.9830271826929421,0.13793103448275862,0.23529411764705882,0.17391304347826086,8,50,26,58
7,27,0.88,1.1709489254765155,0.13793103448275862,0.23529411764705882,0.17391304347826086,8,50,26,58
3,31,0.95,1.8462596299163962,0.2,0.14705882352941177,0.16949152542372883,5,20,29,25
3,27,0.95,1.624982946835171,0.2,0.14705882352941177,0.16949152542372883,5,20,29,25
11,27,0.95,1.7626357746772119,0.2,0.14705882352941177,0.16949152542372883,5,20,29,25
5,27,0.95,1.681046232977203,0.2,0.14705882352941177,0.16949152542372883,5,20,29,25
5,27,0.9,1.2965094020621788,0.14285714285714285,0.20588235294117646,0.1686746987951807,7,42,27,49
11,21,0.85,0.8497411693158887,0.1232876712328767,0.2647058823529412,0.16822429906542055,9,64,25,73
9,21,0.85,0.7989402524979315,0.1232876712328767,0.2647058823529412,0.16822429906542055,9,64,25,73
11,21,0.8,0.5885264541702601,0.1134020618556701,0.3235294117647059,0.16793893129770993,11,86,23,97
7,21,0.8,0.6541689176238279,0.1134020618556701,0.3235294117647059,0.16793893129770993,11,86,23,97
9,21,0.8,0.5853492068813941,0.1134020618556701,0.3235294117647059,0.16793893129770993,11,86,23,97
9,21,0.92,1.2452027329133053,0.15384615384615385,0.17647058823529413,0.1643835616438356,6,33,28,39
7,21,0.92,1.1635493054728128,0.15384615384615385,0.17647058823529413,0.1643835616438356,6,33,28,39
9,27,0.97,1.8777469429770923,0.26666666666666666,0.11764705882352941,0.163265306122449,4,11,30,15
11,31,0.97,2.2560833238851297,0.26666666666666666,0.11764705882352941,0.163265306122449,4,11,30,15
5,27,0.97,1.917819111965347,0.26666666666666666,0.11764705882352941,0.163265306122449,4,11,30,15
3,27,0.97,1.9473511351476556,0.26666666666666666,0.11764705882352941,0.163265306122449,4,11,30,15
3,21,0.94,1.3191655069077135,0.1724137931034483,0.14705882352941177,0.15873015873015872,5,24,29,29
3,27,0.94,1.5376511546316578,0.1724137931034483,0.14705882352941177,0.15873015873015872,5,24,29,29
5,21,0.8,0.6644504910370871,0.10309278350515463,0.29411764705882354,0.15267175572519082,10,87,24,97
3,21,0.8,0.6231231976664175,0.10309278350515463,0.29411764705882354,0.15267175572519082,10,87,24,97
7,21,0.88,0.967553849383127,0.1206896551724138,0.20588235294117646,0.15217391304347824,7,51,27,58
9,21,0.88,0.954720739988831,0.1206896551724138,0.20588235294117646,0.15217391304347824,7,51,27,58
3,21,0.85,0.8485533376786116,0.1095890410958904,0.23529411764705882,0.14953271028037382,8,65,26,73
7,21,0.85,0.8845203050849493,0.1095890410958904,0.23529411764705882,0.14953271028037382,8,65,26,73
11,27,0.96,1.8791404631948907,0.2,0.11764705882352941,0.14814814814814817,4,16,30,20
7,21,0.9,1.084528954913481,0.12244897959183673,0.17647058823529413,0.14457831325301204,6,43,28,49
5,21,0.9,1.0559135718697228,0.12244897959183673,0.17647058823529413,0.14457831325301204,6,43,28,49
9,21,0.9,1.08212808460394,0.12244897959183673,0.17647058823529413,0.14457831325301204,6,43,28,49
11,21,0.9,1.080728410398102,0.12244897959183673,0.17647058823529413,0.14457831325301204,6,43,28,49
5,21,0.92,1.2078637664406175,0.1282051282051282,0.14705882352941177,0.136986301369863,5,34,29,39
3,21,0.92,1.1966230028024127,0.1282051282051282,0.14705882352941177,0.136986301369863,5,34,29,39
5,27,0.98,1.9887358996371611,0.3,0.08823529411764706,0.13636363636363635,3,7,31,10
9,31,0.98,2.30582083278011,0.3,0.08823529411764706,0.13636363636363635,3,7,31,10
9,27,0.98,1.9694175803535452,0.3,0.08823529411764706,0.13636363636363635,3,7,31,10
7,31,0.98,2.245858608619797,0.3,0.08823529411764706,0.13636363636363635,3,7,31,10
3,31,0.98,2.3125590826815285,0.3,0.08823529411764706,0.13636363636363635,3,7,31,10
11,27,0.98,2.1050601934135758,0.3,0.08823529411764706,0.13636363636363635,3,7,31,10
5,31,0.98,2.2619701670356473,0.3,0.08823529411764706,0.13636363636363635,3,7,31,10
