timestamp,pod,metric,value,label,fault_service,sr_score,pred,target
1170,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,5.37344477273155e-10,0,1
1185,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,1.7333692815263065e-10,0,1
1200,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,1.2306921898410126e-09,0,1
1215,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,1.4733638892590523e-10,0,1
1230,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,5.026770916252023e-10,0,1
1245,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,1.4733638892590523e-10,0,1
1260,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,8.40684101489256e-10,0,1
1275,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,1.6467008174357194e-10,0,1
1290,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,1.2046916505876965e-09,0,1
1305,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,1.1266900329237452e-10,0,1
1320,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,4.073417811057264e-10,0,1
1335,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,6.066792484658534e-11,0,1
1350,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,7.713493301789288e-10,0,1
1365,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,9.533531047651055e-11,0,1
1380,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,2.6000539220415825e-10,0,1
1395,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0,anomaly,cartservice,9.533531047651055e-11,0,1
